surrogate_id,activation,loss,baseline_dataset,baseline_samples,baseline_best_mae,scaled_dataset,scaled_samples,scaled_best_mae,improvement_pct,scaled_best_epoch,scaled_last20_trend_pct
BS-1,relu,price,bs_train_200k_uniform_delta,200000,4.075815e-03,bs_train_10M_uniform_delta,10000000,2.542496e-03,-37.62,93,9.60
BS-2,softplus,price,bs_train_200k_uniform_delta,200000,3.598801e-02,bs_train_10M_uniform_delta,10000000,4.122643e-03,-88.54,93,9.41
BS-3,swish,price,bs_train_200k_uniform_delta,200000,9.879386e-03,bs_train_10M_uniform_delta,10000000,1.104042e-03,-88.82,74,31.78
BS-4,tanh,price,bs_train_200k_uniform_delta,200000,1.372227e-02,bs_train_10M_uniform_delta,10000000,1.789099e-03,-86.96,86,-43.13
H-1,relu,price,heston_train_500k_uniform,500000,4.724786e-03,heston_train_25M_uniform,25000000,1.481274e-03,-68.65,81,-98.08
H-2,softplus,price,heston_train_500k_uniform,500000,2.590249e-02,heston_train_25M_uniform,25000000,2.833247e-03,-89.06,99,0.98
H-3,swish,price,heston_train_500k_uniform,500000,1.153802e-02,heston_train_25M_uniform,25000000,1.045341e-03,-90.94,77,20.35
H-4,tanh,price,heston_train_500k_uniform,500000,1.146838e-02,heston_train_25M_uniform,25000000,1.169800e-03,-89.80,85,5.81
H-5,swish,price,heston_train_500k_focused,500000,1.111928e-02,heston_train_25M_focused,25000000,9.887524e-04,-91.11,75,-55.60
H-3-small,swish,price,heston_train_100k_uniform,100000,1.273189e-02,heston_train_5M_uniform,5000000,1.857537e-03,-85.41,57,18.09
H-6-small,swish,differential,heston_train_100k_uniform_delta,100000,1.093500e-02,heston_train_5M_uniform_delta,5000000,1.169034e-03,-89.31,85,-21.47
