surrogate_id,activation,bin_id,moneyness_idx,maturity_idx,bin_label,n_points,price_mae_mean,price_mae_p95,price_mae_p99,delta_mae_mean,delta_mae_p95,delta_mae_p99
BS-1,relu,0,0,0,deep_otm_weekly,5000,0.0006556494321609696,0.0011023133381968364,0.0012959951907396316,0.004659956493542246,0.02115324353217148,0.028298272033089267
BS-1,relu,1,1,0,otm_weekly,5000,0.0009436020283709333,0.0027686422923579833,0.0036897367238998423,0.019453667255857853,0.06540535697713495,0.0956969859451056
BS-1,relu,2,2,0,atm_weekly,5000,0.0025387086516248333,0.005449389852583408,0.0068484204262495045,0.04842723676463668,0.13392735831439495,0.2078188210725785
BS-1,relu,3,3,0,itm_weekly,5000,0.002182763613760471,0.004634684324264527,0.0054165260493755345,0.060118101358413695,0.15689221620559693,0.218567718267441
BS-1,relu,4,4,0,deep_itm_weekly,5000,0.0031812810480594633,0.006921124458312989,0.008281907439231875,0.0215934845328331,0.060766622424125685,0.0913110423088074
BS-1,relu,5,0,1,deep_otm_short,5000,0.0007464267989696305,0.0011984902681433597,0.0017593139177188278,0.004530834160935335,0.019204560993239306,0.03752791333943614
BS-1,relu,6,1,1,otm_short,5000,0.0011267719573016884,0.0025794335640966894,0.003156532719731331,0.017532079124416605,0.05408537834882737,0.07411369882524015
BS-1,relu,7,2,1,atm_short,5000,0.0018581186902943373,0.004179098084568978,0.005330467820167542,0.04279675202456008,0.12021151185035714,0.19184992536902437
BS-1,relu,8,3,1,itm_short,5000,0.0022760720536112787,0.004438331723213197,0.005304044932127,0.05446455458402634,0.1432413220405579,0.2042263072729116
BS-1,relu,9,4,1,deep_itm_short,5000,0.0035152607262134553,0.006940272450447085,0.008336134552955631,0.02133829296827316,0.058364927768707275,0.09450650334358215
BS-1,relu,10,0,2,deep_otm_medium_short,5000,0.0006783313665564441,0.0011786078335717322,0.0015594727825373447,0.00626267298682846,0.023539374163374323,0.03587176382541657
BS-1,relu,11,1,2,otm_medium_short,5000,0.001006831285577588,0.002432386949658394,0.003177498541772369,0.016504519417437215,0.05064321085810662,0.07101788043975832
BS-1,relu,12,2,2,atm_medium_short,5000,0.001819532890679626,0.0037467956542968756,0.004767231307923794,0.04028786469486709,0.11143925189971926,0.164982163310051
BS-1,relu,13,3,2,itm_medium_short,5000,0.002207918056845665,0.004243513941764832,0.005039338022470474,0.04514685949087143,0.12663792669773105,0.18776525676250472
