surrogate_id,role,architecture,bin_id,moneyness_idx,maturity_idx,bin_label,n_points,price_mae_mean,price_mae_p95,price_mae_p99,delta_mae_mean,delta_mae_p95,delta_mae_p99
H-3,baseline,4x128,0,0,0,deep_otm_weekly,5000,0.001088445662069567,0.003070674724949643,0.006803478567617287,0.011242815897125008,0.026202705293511007,0.04009045643102059
H-3,baseline,4x128,1,1,0,otm_weekly,5000,0.002197626358374642,0.0064401180925870005,0.009936367009600003,0.02413025881642342,0.06510015353560449,0.09327097616816525
H-3,baseline,4x128,2,2,0,atm_weekly,5000,0.00434130549419122,0.009302636608481407,0.012337174117565174,0.05410171406925758,0.1760079801082611,0.26236161649227185
H-3,baseline,4x128,3,3,0,itm_weekly,5000,0.00279574129730463,0.006514437496662141,0.008526095971465114,0.025166965663433075,0.056853881478309644,0.07873063385486603
H-3,baseline,4x128,4,4,0,deep_itm_weekly,5000,0.001694662606716156,0.004422590136528016,0.006387175321578981,0.008849226760864257,0.023914334177970887,0.03461954891681677
H-3,baseline,4x128,5,0,1,deep_otm_short,5000,0.0006845487526317718,0.0018718583547212124,0.0033938057397118445,0.007346280723853855,0.017294028345621017,0.024169612038604092
H-3,baseline,4x128,6,1,1,otm_short,5000,0.0011471754086859345,0.0032824444429024884,0.005390458079054955,0.012746428845339598,0.03450474696285825,0.058629507585210516
H-3,baseline,4x128,7,2,1,atm_short,5000,0.0017521171781807428,0.005460250703617936,0.008520016708644123,0.02672234855560728,0.10287295447196816,0.1913993306830527
H-3,baseline,4x128,8,3,1,itm_short,5000,0.0014058457776904105,0.0035867258906364446,0.004836974889039995,0.009480805921554565,0.027087649703025837,0.04496923625469213
H-3,baseline,4x128,9,4,1,deep_itm_short,5000,0.0016056895673274994,0.0036109566688537617,0.0050373780727386505,0.005596990597248077,0.016726732254028327,0.026341072320938158
H-3,baseline,4x128,10,0,2,deep_otm_medium_short,5000,0.00040880459415451815,0.0011143406846940707,0.0018632022989913846,0.004518286443122454,0.01163166304183484,0.01622371756006034
H-3,baseline,4x128,11,1,2,otm_medium_short,5000,0.000750869881155156,0.00180073706433177,0.002655486445873982,0.009839453087049407,0.02832288220524789,0.04376222930848602
H-3,baseline,4x128,12,2,2,atm_medium_short,5000,0.0010835760123023648,0.00310566918924451,0.005282681267708548,0.015519126451597549,0.05510021299123765,0.14989027570001795
H-3,baseline,4x128,13,3,2,itm_medium_short,5000,0.0009989744901657105,0.0024977996945381173,0.0033086223155260096,0.0058985588788986205,0.01622283458709718,0.026811793446540905
H-3,baseline,4x128,14,4,2,deep_itm_medium_short,5000,0.0017240840256214141,0.0032837808132171633,0.004323552250862123,0.004150268995761872,0.01085112094879151,0.0216707235574723
H-3,baseline,4x128,15,0,3,deep_otm_medium,5000,0.0003825501202495469,0.0010026257252320648,0.0016251608170568962,0.004254744852878355,0.010840244311839343,0.018177301082760115
H-3,baseline,4x128,16,1,3,otm_medium,5000,0.0005892156159769723,0.0016518780961632732,0.003407371876528516,0.007362836369301773,0.024110426008701325,0.052107636225409856
H-3,baseline,4x128,17,2,3,atm_medium,5000,0.00077210622230632,0.002196840569376946,0.004254905078560124,0.008286427356326021,0.025300291180610703,0.10388300180435249
H-3,baseline,4x128,18,3,3,itm_medium,5000,0.0006925961300730706,0.0017548322677612307,0.0026482959091663366,0.003716111874580383,0.01052926778793335,0.017692219614982605
H-3,baseline,4x128,19,4,3,deep_itm_medium,5000,0.0013899893641471863,0.002737593650817871,0.0035195511579513565,0.003175396275520325,0.008283287286758423,0.01277058720588685
H-3,baseline,4x128,20,0,4,deep_otm_long,5000,0.0005242880093172948,0.0013857997948889535,0.0031269066551453816,0.00516671930946102,0.01407302932348104,0.0288891798257828
H-3,baseline,4x128,21,1,4,otm_long,5000,0.00072435786026458,0.0020695149432867774,0.0045387107459828316,0.007730207835383543,0.025542026013135932,0.07907751648221165
H-3,baseline,4x128,22,2,4,atm_long,5000,0.0009610435983104253,0.002294121682643891,0.005822685193270458,0.006179170747986063,0.016602665185928345,0.07093549907207498
H-3,baseline,4x128,23,3,4,itm_long,5000,0.0009465021282434464,0.0020407289266586312,0.0030272299051284837,0.003103471577167511,0.007841098308563233,0.014984909892082227
H-3,baseline,4x128,24,4,4,deep_itm_long,5000,0.0014526394188404082,0.0029775440692901617,0.0040212631225585984,0.00371992963552475,0.01095442771911621,0.01879652976989747
H-7-shallow,shallow,2x128,0,0,0,deep_otm_weekly,5000,0.0037823252340467677,0.010034589794986464,0.016210571825504314,0.03774815347111021,0.09201839471724993,0.12297933551632519
H-7-shallow,shallow,2x128,1,1,0,otm_weekly,5000,0.006512285165720974,0.014483819715678692,0.017994841185893645,0.06754671988417332,0.16449046283960345,0.20506927057809662
H-7-shallow,shallow,2x128,2,2,0,atm_weekly,5000,0.013257427711349749,0.02474053421428835,0.029248055815696724,0.113778952179314,0.28820498554268853,0.37637618124485045
H-7-shallow,shallow,2x128,3,3,0,itm_weekly,5000,0.00813106025159359,0.01818082630634308,0.022616250067949317,0.06257816354036332,0.1460739701986313,0.1929576736688614
H-7-shallow,shallow,2x128,4,4,0,deep_itm_weekly,5000,0.0035466208934783936,0.009921020269393925,0.015694744884967807,0.01894261441230774,0.052469581365585334,0.07636690139770513
H-7-shallow,shallow,2x128,5,0,1,deep_otm_short,5000,0.0031835451663646233,0.008691639790777122,0.014660908489829535,0.03425518637226616,0.08917774757021513,0.1250662936465939
H-7-shallow,shallow,2x128,6,1,1,otm_short,5000,0.0046504226555739315,0.011216431294133146,0.014095508216851193,0.04599215470607603,0.1298549156636,0.18519812468439342
H-7-shallow,shallow,2x128,7,2,1,atm_short,5000,0.007721649051229733,0.017096332041546702,0.022547214161604656,0.07090930623814794,0.24190278779715302,0.33780768065713385
H-7-shallow,shallow,2x128,8,3,1,itm_short,5000,0.0053577264502644535,0.012713277339935306,0.01693210542201996,0.03514003419876099,0.09758114516735081,0.15550602734088897
H-7-shallow,shallow,2x128,9,4,1,deep_itm_short,5000,0.0025860934555530547,0.007239165902137758,0.011400139033794414,0.012844558775424958,0.038380745053291324,0.06296939134597779
H-7-shallow,shallow,2x128,10,0,2,deep_otm_medium_short,5000,0.002454876432126565,0.006645362833997127,0.010430071638638789,0.030484680919127777,0.08798270189380449,0.1248711561448306
H-7-shallow,shallow,2x128,11,1,2,otm_medium_short,5000,0.0025914294094911837,0.007376157041602483,0.010410362629323813,0.02790541308154699,0.0851439621881582,0.14793227843940282
H-7-shallow,shallow,2x128,12,2,2,atm_medium_short,5000,0.004045910365228338,0.013024688884615897,0.020304236584343036,0.039597154406900516,0.17746158521622438,0.28643836674280493
H-7-shallow,shallow,2x128,13,3,2,itm_medium_short,5000,0.002710629491508007,0.007448837161064149,0.011468062251806261,0.017663515329360963,0.05881132483482362,0.10703629255294807
H-7-shallow,shallow,2x128,14,4,2,deep_itm_medium_short,5000,0.001986018818616867,0.005031830072402955,0.006949853301048279,0.007679834413528442,0.022933265566825883,0.04143993258476267
H-7-shallow,shallow,2x128,15,0,3,deep_otm_medium,5000,0.001700361493378454,0.004800218250602483,0.00798589733623886,0.02266098122725745,0.06305865337772054,0.09656799436314051
H-7-shallow,shallow,2x128,16,1,3,otm_medium,5000,0.0016347269223753508,0.005667610652744772,0.009420358308480016,0.01967405629725539,0.0863359751063399,0.17374490870162876
H-7-shallow,shallow,2x128,17,2,3,atm_medium,5000,0.0023211716933947174,0.009691946674138311,0.018809851910919006,0.017941787963383832,0.08285003900527964,0.23661668807268169
H-7-shallow,shallow,2x128,18,3,3,itm_medium,5000,0.0012873075619339942,0.003712037205696108,0.0066864608228206675,0.007467450535297394,0.026725241541862507,0.06307457447052014
H-7-shallow,shallow,2x128,19,4,3,deep_itm_medium,5000,0.0013880591809749604,0.003458619117736817,0.004932072162628176,0.005474131977558136,0.016486054658889776,0.025883483886718767
H-7-shallow,shallow,2x128,20,0,4,deep_otm_long,5000,0.001872897576730702,0.005486487271264196,0.010481957063457274,0.019160088669826797,0.05331525093060919,0.08627255070954569
H-7-shallow,shallow,2x128,21,1,4,otm_long,5000,0.0018730620015606735,0.006662775017321111,0.014010273623280233,0.016447057597729672,0.0748858101665974,0.1713715757802129
H-7-shallow,shallow,2x128,22,2,4,atm_long,5000,0.001986590818620971,0.00782418656162918,0.0184058445133269,0.014658787872409448,0.060158118605613854,0.17043586820364004
H-7-shallow,shallow,2x128,23,3,4,itm_long,5000,0.0013465136528015137,0.003676541894674302,0.0079935720562935,0.006566439688205719,0.022609594464302083,0.058338528871536253
H-7-shallow,shallow,2x128,24,4,4,deep_itm_long,5000,0.0014254383265972137,0.0035855650901794453,0.005807790160179143,0.005075029373168945,0.013718751072883612,0.02192758858203889
H-8-deep,deep,6x128,0,0,0,deep_otm_weekly,5000,0.001408566934681064,0.003398622608438018,0.005116194244601506,0.007437430663952787,0.017903560490034567,0.02655404707915572
H-8-deep,deep,6x128,1,1,0,otm_weekly,5000,0.002456142444574262,0.005534789810553778,0.007746604622734596,0.021030944020594116,0.05585056096315385,0.0726041229395765
H-8-deep,deep,6x128,2,2,0,atm_weekly,5000,0.0029221541334384623,0.007920671813189986,0.01085413288325072,0.05390058768048324,0.1600108802318573,0.2549086188571529
H-8-deep,deep,6x128,3,3,0,itm_weekly,5000,0.005008582557737827,0.009838704764842988,0.012550449818372734,0.02988383034467697,0.07158727049827576,0.08863815009593964
H-8-deep,deep,6x128,4,4,0,deep_itm_weekly,5000,0.004560504603385925,0.008714325726032257,0.011132536828517932,0.008996687626838685,0.022123014926910406,0.033222974538803164
H-8-deep,deep,6x128,5,0,1,deep_otm_short,5000,0.001256375087656329,0.0024269796092994517,0.003363364672622993,0.005155532822912041,0.012176324752091894,0.017276414800037727
